src_ip,dst_ip,src_mac,dst_mac,protocol_name,src_port,dst_port,modbus_trans_id,modbus_func_code,up_pkt_count,down_pkt_count,up_payload_count,down_payload_count,duration,up_payload_mean,down_payload_mean,up_payload_min,down_payload_min,up_payload_max,down_payload_max,up_payload_std,down_payload_std,up_time_interval_mean,down_time_interval_mean,up_time_interval_min,down_time_interval_min,up_time_interval_max,down_time_interval_max,up_time_interval_std,down_time_interval_std
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57098,502,0,0,4,0,128,0,5.906331,32.0,0,32,0,32,0,0.0,0,1.968777,0,1.512628,0,2.871988,0,0.6386773970652163293918375746,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57099,502,0,0,4,0,128,0,5.906196,32.0,0,32,0,32,0,0.0,0,1.968732,0,1.512825,0,2.871910,0,0.6386530199761578412845352381,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57100,502,0,0,5,0,160,0,5.906473,32.0,0,32,0,32,0,0.0,0,1.47661825,0,1.372011,0,1.521487,0,0.06086901591686446839463022850,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57101,502,0,0,4,0,128,0,5.906450,32.0,0,32,0,32,0,0.0,0,1.968816666666666666666666667,0,1.512830,0,2.872229,0,0.6388185478909919343353762462,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57102,502,0,0,4,0,128,0,4.534332,32.0,0,32,0,32,0,0.0,0,1.511444,0,1.500163,0,1.521585,0,0.008782566860927770168196926723,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57104,502,0,0,5,0,160,0,5.906582,32.0,0,32,0,32,0,0.0,0,1.4766455,0,1.372306,0,1.521568,0,0.06071944430946317545523426596,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57103,502,0,0,4,0,128,0,5.906537,32.0,0,32,0,32,0,0.0,0,1.968845666666666666666666667,0,1.512600,0,2.872433,0,0.6389430710291975787161871607,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57105,502,0,0,4,0,128,0,5.906520,32.0,0,32,0,32,0,0.0,0,1.968840,0,1.512406,0,2.872448,0,0.6389585276828744748877489495,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57094,502,0,0,3,0,96,0,3.033512,32.0,0,32,0,32,0,0.0,0,1.516756,0,1.512881,0,1.520631,0,0.003875,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57106,502,0,0,4,0,128,0,4.534281,32.0,0,32,0,32,0,0.0,0,1.511427,0,1.500231,0,1.521671,0,0.008778691170480179653388814575,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57107,502,0,0,4,0,128,0,5.906501,32.0,0,32,0,32,0,0.0,0,1.968833666666666666666666667,0,1.512442,0,2.872464,0,0.6389740625107998509762975856,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57108,502,0,0,4,0,128,0,4.534080,32.0,0,32,0,32,0,0.0,0,1.511360,0,1.500173,0,1.521525,0,0.008746821860919923105980599458,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57109,502,0,0,4,0,128,0,5.906524,32.0,0,32,0,32,0,0.0,0,1.968841333333333333333333333,0,1.512460,0,2.872449,0,0.6389580398066492406278908702,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57110,502,0,0,4,0,128,0,4.534043,32.0,0,32,0,32,0,0.0,0,1.511347666666666666666666667,0,1.500086,0,1.521470,0,0.008767075693880042132222511660,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57111,502,0,0,4,0,128,0,5.906275,32.0,0,32,0,32,0,0.0,0,1.968758333333333333333333333,0,1.512681,0,2.872343,0,0.6389404242448760748328062667,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57112,502,0,0,5,0,160,0,5.906225,32.0,0,32,0,32,0,0.0,0,1.47655625,0,1.372580,0,1.521131,0,0.06050843369884482475042702659,0
